Class,Superorder,Order,Family,Genus,species_binomial,EDGE Scientific name
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon scobina,
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon tatianae,
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon tigrina,
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon yepezi,
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Styracura,Styracura pacifica,Himantura pacifica
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Styracura,Styracura schmardae,Himantura schmardae
Elasmobranchii,Batoidea,Myliobatiformes,Rhinopteridae,Rhinoptera,Rhinoptera bonasus,Rhinoptera bonasus
Elasmobranchii,Batoidea,Myliobatiformes,Rhinopteridae,Rhinoptera,Rhinoptera brasiliensis,Rhinoptera brasiliensis
Elasmobranchii,Batoidea,Myliobatiformes,Rhinopteridae,Rhinoptera,Rhinoptera javanica,Rhinoptera javanica
Elasmobranchii,Batoidea,Myliobatiformes,Rhinopteridae,Rhinoptera,Rhinoptera jayakari,Rhinoptera jayakari
Elasmobranchii,Batoidea,Myliobatiformes,Rhinopteridae,Rhinoptera,Rhinoptera marginata,Rhinoptera marginata
Elasmobranchii,Batoidea,Myliobatiformes,Rhinopteridae,Rhinoptera,Rhinoptera neglecta,Rhinoptera neglecta
Elasmobranchii,Batoidea,Myliobatiformes,Rhinopteridae,Rhinoptera,Rhinoptera steindachneri,Rhinoptera steindachneri
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Spinilophus,Spinilophus armatus,Urolophus armatus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Trygonoptera,Trygonoptera galba,Trygonoptera galba
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Trygonoptera,Trygonoptera imitata,Trygonoptera imitata
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Trygonoptera,Trygonoptera mucosa,Trygonoptera mucosa
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Trygonoptera,Trygonoptera ovalis,Trygonoptera ovalis
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Trygonoptera,Trygonoptera personata,Trygonoptera personata
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Trygonoptera,Trygonoptera testacea,Trygonoptera testacea
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus aurantiacus,Urolophus aurantiacus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus bucculentus,Urolophus bucculentus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus circularis,Urolophus circularis
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus cruciatus,Urolophus cruciatus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus deforgesi,Urolophus deforgesi
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus expansus,Urolophus expansus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus flavomosaicus,Urolophus flavomosaicus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus gigas,Urolophus gigas
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus javanicus,Urolophus javanicus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus kaianus,Urolophus kaianus
Elasmobranchii,Batoidea,Myliobatiformes,Urolophidae,Urolophus,Urolophus kapalensis,Urolophus kapalensis
