"c","v_unreliability_i","v_unreliability_j","q_unreliability_i","q_unreliability_j"
178,1.30170966392169,0.671031868678323,0.861898741192636,1.22478970613773
188,0.513600004821358,0.309880600548764,0.3146195640756,1.00699754231017
191,0.506816595902782,0.0188913512211554,0.564243604373162,0.802593126701959
196,0.804747764027567,0.213719635714878,0.757612780151815,0.960854129048525
203,0.60638519817956,0.504338599439322,0.637550654056534,1.18613783390149
204,1.28783761752851,1.06747837449272,0.969943808392155,1.63031529205174
208,0.761997374430405,0.313811917529844,0.872934764613508,1.09963570728663
214,1.03094501157921,0.657625000275944,0.944112271984832,1.45289509310181
218,0.266564895853969,0.305526355041728,0.283709274741694,0.954784840438124
222,0.0895202661601384,0.327738128447138,0.0870076408419807,0.943464258523919
231,0.913334671698525,0.846255820056493,0.774313339220919,1.59610114916408
233,0.750263507132744,0.546217299268468,0.777970462361725,1.20567638076992
242,0.98166580370235,0.352582330531556,0.923937337063758,1.28906359200758
246,0.531983547891245,0.465131008151118,0.621253733567444,1.18231174009526
251,0.559607146179124,0.476986941128219,0.692689114392311,1.15766407017245
258,0.514085299494828,0.32545081764349,0.30732253651894,0.900533720293121
268,0.36128694312129,0.0333655165658647,0.246777112995027,0.742247521322418
270,4.64347276837948,1.66179500910201,1.06508556167316,1.67672967596906
275,0.709498954868392,1.0672855687677,1.08192921518156,1.89139094225386
276,0.397246976595219,0.462779666689408,0.526513194212737,1.14096231751829
288,1.20356496305366,0.756322760836176,1.11448377524135,1.45040843097024
296,2.46383974052749,0.409461340452981,3.45523172663716,1.59215967674426
300,0.660511028920813,0.153480180260874,0.760439561229946,0.950407709214211
304,0.152692628777529,0.040127361204153,0.355925932060186,0.0430954638914385
320,0.264781853645895,0.170432535912987,0.245914313329232,0.948947581327577
324,1.10223281198242,1.05575469089815,1.19583002528103,1.4191734741454
328,1.09182713183371,0.551609317265,1.2325529836954,1.3100106989194
340,0.688487458653917,0.546443604826382,0.540036955554364,1.21551343543847
344,2.04614527735104,0.561646323410485,2.00058958434226,1.3033078853374
348,0.708692844733916,0.29832212102537,0.715887041797439,1.10810988703282
352,0.557269808298936,0.371008818012801,0.669440915918374,1.06588206797303
360,0.760102149313665,0.459186202157488,0.671926161328852,1.06718788568171
364,1.14916366787853,0.97912904171478,1.05912005170979,1.54214215857403
372,1.04955364483532,0.637084586507289,1.11661980291912,1.37697630649524
376,0.966678264321487,0.300525072900937,1.10672289763266,1.26468723965193
381,0.444687992746846,0.112764583238129,0.542218211827085,0.849814686923688
384,0.57334470631258,0.472560791869822,0.455830620410366,1.07134562009686
388,0.800786502561198,0.496055959582821,0.898229373665493,1.2538076017357
392,0.737545253979499,0.449095265496886,0.776255067261134,0.973608793706832
398,0.438825575741615,0.488867909133663,0.602881802573261,1.05961143898332
400,1.00294892093096,0.665953671845551,1.07880875519339,1.31727613652821
404,0.25923105510323,0.495198050949034,0.0830383364738413,1.16692368888185
410,0.617402049007245,0.366379367271122,0.668345989787477,0.929960158384885
414,1.04161661285443,0.394355679454734,1.2586929250759,0.958542703804284
417,0.551210066033881,0.646738199583381,0.65733550564414,1.29290421556083
418,0.95494063314632,1.33788856836953,1.5252978985923,2.37665262598317
422,0.640453935403837,0.373978260482007,0.638099109635305,0.981631894923326
426,0.357939321660283,0.0393463863731253,0.510947325816974,1.39372558522341
428,0.655095447074648,0.196698337164087,0.773905339846117,0.953200625802643
440,0.857077911868005,0.240610623495735,0.873429970508008,0.932412686860078
442,0.902368475701763,0.426360640766853,1.11465966263166,1.25883345984689
446,0.989349186630489,1.03450088377879,1.22785260631994,1.37194747054421
450,0.504009014096392,0.446358162205275,0.73464676692472,1.01638423553429
454,0.764705858520179,0.375280809334251,0.414654687055762,1.20666575463615
458,0.798919542002795,0.521008397976219,0.840170242099577,1.35605196596455
462,0.554969180406048,0.359168382426455,0.321056543703978,1.65775087590479
466,1.20622626368465,0.870364870270423,1.35787234095284,1.67119212972726
470,0.948206067785932,0.326774186146372,0.894385581137445,0.987633361190272
