RFMO,Year,faoEN,faoSp,Common,Species,Binding,Measure,Note1,Note2,Note3,Note4
CMS,2014,Munk's devil ray,Mobula munkiana,Munk's devil ray,Mobula munkiana,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Mobula munkiana (Munk's devil ray).",NA,NA
CITES,2017,Munk's devil ray,Mobula munkiana,Munk's devil ray,Mobula munkiana,binding,Appendix,Binding,CITES Appendix II - Mobula munkiana (Munk's devil ray).,NA,NA
CMS,2014,Lesser Guinean devil ray,Mobula rochebrunei,Lesser Guinean devil ray,NA,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Mobula rochebrunei (Lesser Guinean devil ray).",NA,NA
CITES,2017,Lesser Guinean devil ray,Mobula rochebrunei,Lesser Guinean devil ray,NA,binding,Appendix,Binding,CITES Appendix II - Mobula rochebrunei (Lesser Guinean devil ray).,NA,NA
CMS,2014,Chilean devil ray,Mobula tarapacana,Chilean devil ray,Mobula tarapacana,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Mobula tarapacana (Chilean devil ray).",NA,NA
CITES,2017,Chilean devil ray,Mobula tarapacana,Chilean devil ray,Mobula tarapacana,binding,Appendix,Binding,CITES Appendix II - Mobula tarapacana (Chilean devil ray).,NA,NA
CMS,2014,Smoothtail mobula,Mobula thurstoni,Smoothtail mobula,Mobula thurstoni,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Mobula thurstoni (Smoothtail mobula).",NA,NA
CITES,2017,Smoothtail mobula,Mobula thurstoni,Smoothtail mobula,Mobula thurstoni,binding,Appendix,Binding,CITES Appendix II - Mobula thurstoni (Smoothtail mobula).,NA,NA
NEAFC,2024,NA,NA,Deep Sea Sharks,NA,binding,Recommendation,Recommendation 09:2024BindingReplaces,Recommendation on Conservation and Management Measures for Deep Sea Sharks in the NEAFC Regulatory Area from 2024 to 2027.,NA,NA
ICCAT,1995,NA,NA,NA,NA,binding,Resolution,Res. 95-02Non Binding,Resolution by ICCAT on Cooperation with the Food & Agriculture Organization of the United Nations (FAO) With Regard to Study on the Status of Stocks and By-Catches of Shark Species.,NA,NA
ICCAT,2003,NA,NA,NA,NA,binding,Resolution,Res. 03-10Non Binding,Resolution by ICCAT on the Shark Fishery.,NA,NA
ICCAT,2004,NA,NA,NA,NA,binding,Recommendation,Rec. 04-10Binding,Recommendation by ICCAT Concerning the Conservation of Sharks Caught in Association with Fisheries Managed by ICCAT.,NA,NA
WCPFC,2004,NA,NA,NA,NA,binding,Resolution,CMM-2004-04Non Binding,Resolution on Conservation and Management Measures.,NA,NA
IATTC,2005,NA,NA,NA,NA,binding,Resolution,Resolution C-05-03Binding,Resolution on the Conservation of Sharks Caught in Association with Fisheries in the Eastern Pacific Ocean.,NA,NA
CCAMLR,2006,NA,NA,NA,NA,binding,Conservation measure,Conservation Measure 32-18 (2006)Binding,Conservation of sharks.,NA,NA
SEAFO,2006,NA,NA,NA,NA,binding,Conservation measure,CM04/06Binding,Conservation Measure 04/06 on the Conservation of Sharks Caught in Association with Fisheries Managed by SEAFO.,NA,NA
ICCAT,2007,NA,NA,NA,NA,binding,Recommendation,Rec. 07-06Binding,Supplemental Recommendation by ICCAT Concerning Sharks.,NA,NA
SEAFO,2008,NA,NA,NA,NA,binding,Recommendation,Rec01/08Non Binding,Recommendation 1/2008 Banning of deep-water shark catches.,NA,NA
GFCM,2011,NA,NA,NA,NA,binding,Recommendation,GFCM/35/2011/1Binding,"Recommendation GFCM/35/2011/1 concerning the establishment of a GFCM Logbook, amending Recommendation GFCM/34/2010/1.",NA,NA
ICCAT,2011,NA,NA,NA,NA,binding,Recommendation,Rec. 11-10Binding,Recommendation by ICCAT on information collection and harmonization of data on bycatch and discard in ICCAT fisheries.,NA,NA
ICCAT,2011,NA,NA,NA,NA,binding,Recommendation,Rec. 11-15Binding,Recommendation by ICCAT on penalties applicable in case of non fulfilment of recording obligations.,NA,NA
RECOFI,2011,NA,NA,NA,NA,binding,Recommendation,RECOFI/6/2011/1Binding,Recommendation RECOFI/6/2011/1 on minimum data reporting in the RECOFI area.,NA,NA
GFCM,2012,NA,NA,NA,NA,binding,Recommendation,GFCM/36/2012/3Binding,Recommendation GFCM/36/2012/3 on fisheries management measures for conservation of sharks and rays in the GFCM area.,NA,NA
ICCAT,2013,NA,NA,NA,NA,binding,Recommendation,Rec. 13-10Binding,Recommendation on Biological Sampling of Prohibited Shark Species by Scientific Observers.,NA,NA
IOTC,2013,NA,NA,NA,NA,binding,Resolution,Resolution 13/06Binding,On a Scientific and Management Framework on the Conservation of Shark Species Caught in Association with IOTC Managed Fisheries.,NA,NA
