Class,Superorder,Order,Family,Genus,species_binomial,EDGE.Scientific.name,OldRLCategory,OldRLYear,GSTPRLCategory,GSTRLYear,MaxLinearDimension,MeasurementType,BodySizeClass,length.weight.a,length.weight.b,mass_50,mass_75,mass_max
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja fedorovi,Bathyraja fedorovi,LC,2004,LC,2020,150,TL,large,0.00513,3.12,3633.360638,12873.99201,31587.99738
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja griseocauda,Bathyraja griseocauda,EN,2007,EN,2020,157,TL,large,0.00513,3.12,4189.00322,14842.78588,36418.6867
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja hesperafricana,Bathyraja hesperafricana,DD,2004,LC,2021,87,TL,medium,0.00513,3.12,664.0546877,2352.92766,5773.211038
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja interrupta,NA,LC,2008,LC,2015,89,TL,medium,0.00513,3.12,712.8540139,2525.83704,6197.466471
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja irrasa,Bathyraja irrasa,NT,2004,VU,2020,140,TL,large,0.00513,3.12,2929.700667,10380.73198,25470.46281
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja ishiharai,Bathyraja ishiharai,DD,2008,DD,2015,123,TL,large,0.00513,3.12,1956.175099,6931.264222,17006.74942
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja isotrachys,Bathyraja isotrachys,LC,2004,LC,2021,86,TL,medium,0.00513,3.12,640.5292202,2269.570484,5568.683472
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja kincaidii,Bathyraja kincaidii,DD,2004,LC,2020,64,TL,medium,0.00513,3.12,254.7917123,902.7968305,2215.128292
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja leucomelanos,Bathyraja leucomelanos,NE,NA,LC,2017,89.5,TL,medium,0.00513,3.12,725.4235475,2570.37434,6306.744473
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja lindbergi,Bathyraja lindbergi,LC,2007,LC,2015,102,TL,large,0.00513,3.12,1090.777861,3864.924751,9483.090627
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja longicauda,Bathyraja longicauda,DD,2004,LC,2020,23.5,TL,small,0.00513,3.12,11.18498765,39.63147509,97.24092814
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja maccaini,Bathyraja maccaini,NT,2004,LC,2020,120,TL,large,0.00513,3.12,1811.128507,6417.324412,15745.73191
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja macloviana,Rhinoraja macloviana,NT,2007,NT,2020,71,TL,medium,0.00513,3.12,352.2328256,1248.057386,3062.26953
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja maculata,Bathyraja maculata,LC,2004,LC,2015,147,TL,large,0.00513,3.12,3411.409567,12087.55857,29658.38165
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja magellanica,Rhinoraja magellanica,DD,2007,LC,2020,105,TL,large,0.00513,3.12,1194.027672,4230.767115,10380.73198
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja mariposa,Bathyraja mariposa,DD,2008,LC,2014,76,TL,medium,0.00513,3.12,435.5541806,1543.287771,3786.6553
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja matsubarai,Bathyraja matsubarai,DD,2004,LC,2020,126,TL,large,0.00513,3.12,2108.918902,7472.477356,18334.68555
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja meridionalis,Bathyraja meridionalis,DD,2008,LC,2020,150,TL,large,0.00513,3.12,3633.360638,12873.99201,31587.99738
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja microtrachys,Bathyraja microtrachys,LC,2004,LC,2015,70,TL,medium,0.00513,3.12,336.9842967,1194.027672,2929.700667
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja minispinosa,Bathyraja minispinosa,LC,2004,LC,2015,89.5,TL,medium,0.00513,3.12,725.4235475,2570.37434,6306.744473
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja multispinis,Rhinoraja multispinis,NT,2007,NT,2020,126,TL,large,0.00513,3.12,2108.918902,7472.477356,18334.68555
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja murrayi,Rhinoraja murrayi,NT,2004,LC,2020,60,TL,medium,0.00513,3.12,208.3222607,738.1428343,1811.128507
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja pacifica,NA,NE,NA,LC,2017,122,TL,large,0.00513,3.12,1906.98137,6756.957365,16579.0651
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja pallida,Bathyraja pallida,LC,2007,LC,2020,162,TL,large,0.00513,3.12,4619.453758,16367.99005,40160.97155
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja panthera,Bathyraja panthera,NE,NA,LC,2014,139,TL,large,0.00513,3.12,2864.903219,10151.13687,24907.12165
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja papilionifera,Bathyraja papilionifera,DD,2007,LC,2020,150,TL,large,0.00513,3.12,3633.360638,12873.99201,31587.99738
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja parmifera,Bathyraja parmifera,LC,2007,LC,2015,111,TL,large,0.00513,3.12,1420.075623,5031.716927,12345.9655
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja peruana,Bathyraja peruana,DD,2007,LC,2020,110,TL,large,0.00513,3.12,1380.539879,4891.630955,12002.24652
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja richardsoni,Bathyraja richardsoni,LC,2007,LC,2015,174,TL,large,0.00513,3.12,5773.211038,20456.06813,50191.59763
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja scaphiops,Bathyraja scaphiops,NT,2007,LC,2020,117,TL,large,0.00513,3.12,1673.569172,5929.914008,14549.80771
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja schroederi,Bathyraja schroederi,DD,2007,LC,2020,130,TL,large,0.00513,3.12,2324.914777,8237.809907,20212.52752
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja shuntovi,Bathyraja shuntovi,DD,2008,DD,2017,175,TL,large,0.00513,3.12,5877.362674,20825.10591,51097.07934
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja smirnovi,Bathyraja smirnovi,LC,2007,NT,2020,116,TL,large,0.00513,3.12,1629.343697,5773.211038,14165.31679
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja smithii,Bathyraja smithii,DD,2008,LC,2018,120,TL,large,0.00513,3.12,1811.128507,6417.324412,15745.73191
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja spinicauda,Bathyraja spinicauda,NT,2006,NT,2020,182,TL,large,0.00513,3.12,6642.422701,23535.92315,57748.41857
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja spinosissima,Bathyraja spinosissima,LC,2004,LC,2014,203,TL,large,0.00513,3.12,9338.80736,33089.95261,81190.46026
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja taranetzi,Rhinoraja taranetzi,LC,2007,LC,2014,77,TL,medium,0.00513,3.12,453.6854394,1607.531787,3944.286269
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja trachouros,Bathyraja trachouros,LC,2004,NT,2020,102,TL,large,0.00513,3.12,1090.777861,3864.924751,9483.090627
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja trachura,Bathyraja trachura,LC,2004,LC,2015,91,TL,medium,0.00513,3.12,764.0344175,2707.183229,6642.422701
